company,location,launch_date,rocket,mission,rocket_status,price,mission_status
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1990-01-30,Delta II 6925,USA-64 (GPS II-9),Retired,,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",1990-02-04,Long March 3,DFH-2A-T4,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1990-02-06,Cosmos-3M (11K65M),Cosmos 2059,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",1990-02-07,H-I (9 SO),"Orizuru, Fuji 1b & Momo-1b",Retired,,Success
MHI,"SLC-N, Tanegashima Space Center, Japan",1990-02-07,H-I (9 SO),MOS-1B / Oscar 20 / DEBUT,Retired,,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1990-02-14,Delta II 6920-8,LACE / RME,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990-02-22,Ariane 44L,"Superbird-B, BS-2X",Retired,,Failure
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1990-02-27,Cosmos-3M (11K65M),Nadiezhda n†­5,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1990-02-28,Tsyklon-3,Okean 2,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-02-28,Space Shuttle Atlantis,STS-36,Retired,450,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1990-03-14,Commercial Titan III,Intelsat 603,Retired,136.6,Failure
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1990-03-14,Tsyklon-2,Cosmos 2060,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1990-03-20,Cosmos-3M (11K65M),Cosmos 2061,Retired,,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1990-03-26,Delta II 6925,USA-54 (GPS II-7),Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1990-03-27,Molniya-M /Block 2BL,Cosmos 2063,Retired,,Success
IAI,"Pad 1, Palmachim Airbase, Israel",1990-04-03,Shavit,Ofek-2,Retired,,Success
Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1990-04-05,Pegasus,Pegsat & NavySat,Retired,40,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1990-04-06,Cosmos-3M (11K65M),Cosmos 2064 to 2071,Retired,,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",1990-04-07,Long March 3,AsiaSat 1,Retired,,Success
Lockheed,"SLC-3W, Vandenberg AFB, California, USA",1990-04-11,Atlas-E/F Altair,USA-56/57/58,Retired,,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1990-04-13,Delta II 6925-8,Palapa B2R,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1990-04-20,Cosmos-3M (11K65M),Cosmos 2074,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-04-24,Space Shuttle Discovery,STS-31,Retired,450,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1990-04-25,Cosmos-3M (11K65M),Cosmos 2075,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1990-04-26,Molniya-M /Block ML,Molniya-1 n†­142,Retired,,Success
